g0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	c18	c19	c20	
g52	0.94	-0.82	-1.57	-2.04	0.38	0.16	-0.89	0.32	0.96	0.22	0.22	0.17	-4.77	-0.26	-1.85	-0.11	-1.52	-0.19	0.34	-1.88	
g53	0.45	0.46	4.86	-0.48	-0.46	1.65	-0.28	-0.05	0.87	1.96	2.11	2.86	-1.18	-3.54	0.73	2.02	1.97	-0.06	-1.58	0.55	
g54	-2.45	1.39	0.67	-2.87	-5.67	0.79	-0.47	1.25	3.94	-0.4	2.01	0.58	0.36	4.86	0.2	-1.43	0.85	2.08	1.48	0.68	
g55	1.21	-1.14	1.35	-1.89	2.05	0.1	-3.67	0.19	-3.27	0.31	0.91	1.24	0.72	0.92	2.64	1.82	-0.12	-2.22	0.19	1.13	
g56	0.59	-0.1	2.29	3.06	0.8	0.37	-2.27	0.07	1.43	-1.41	0.16	-0.15	-0.46	-0.76	1.6	0.27	1.9	0.45	0.34	1.59	
g57	0.62	3.3	0.33	-1.28	1.07	0.06	0.65	-0.63	-1.65	0.32	-1.37	-1.08	1.03	1.43	-0.7	2.4	1.64	-0.34	2.43	1.05	
g58	1.21	2.22	2.0	0.59	3.83	-0.23	4.71	-6.56	1.77	-3.6	-0.56	0.45	3.86	-2.65	2.5	0.94	2.98	-3.61	1.22	7.06	
g59	3.67	-0.88	1.72	-1.51	5.36	0.46	-2.76	1.37	1.16	0.84	0.42	0.07	4.37	-0.75	0.29	0.41	-3.23	-0.17	0.55	-1.86	
g60	-0.38	-5.99	-0.32	-1.46	-3.98	-0.59	0.52	-1.18	1.96	0.26	0.29	0.1	0.33	-0.47	3.38	-1.17	-1.55	0.51	-0.13	-0.13	
g61	0.25	-0.99	-1.23	-1.78	-0.07	-0.59	-3.36	-3.92	-2.51	-2.36	-1.8	-2.37	-3.25	-0.78	-2.14	-1.21	-1.05	-1.78	-0.4	-0.72	
g62	-2.79	0.53	1.37	0.7	0.08	-0.34	-0.54	-0.82	-1.57	-1.94	-1.65	-1.95	1.32	-0.15	0.27	-1.49	0.39	-0.81	-0.17	0.28	
g63	0.83	-3.02	-1.37	-2.32	-0.46	-0.27	2.05	-0.59	-1.79	-1.1	-0.44	0.11	0.48	-1.49	-1.18	-0.31	0.63	-0.17	-0.02	-0.29	
g64	-0.83	-0.84	-2.16	-1.34	1.18	-0.43	-0.21	-0.58	0.43	-0.22	-0.51	-0.37	0.52	0.16	-1.31	-2.06	0.07	0.04	0.59	0.7	
g65	1.3	-0.48	-3.15	0.12	0.4	4.26	-1.1	0.47	1.23	1.92	0.85	0.18	0.07	-7.84	-0.43	0.9	1.41	1.98	-0.07	2.12	
g66	0.34	1.79	0.39	0.61	1.97	1.08	-1.28	-1.47	-0.12	-1.52	-0.57	0.32	-0.16	-2.2	0.18	0.74	1.05	0.22	-0.77	1.34	
g67	-5.0	-1.32	-0.03	0.59	-1.14	0.57	-2.13	-4.0	-0.35	1.66	-0.93	-1.24	0.24	-1.39	-3.03	1.56	1.91	5.14	-2.26	-2.31	
g68	1.92	-0.18	1.13	-1.1	0.53	-0.15	-1.07	1.43	-2.07	1.31	-0.36	-1.77	3.01	0.94	-2.8	-0.24	-3.16	-1.09	-0.61	1.17	
g69	0.77	-5.04	-3.04	-3.19	-3.25	-1.24	-2.94	-0.62	0.78	-0.24	0.83	0.17	-2.86	2.21	-3.97	-3.02	-2.36	-0.47	-0.44	-1.79	
g70	2.05	0.1	2.59	3.64	0.01	1.83	-0.09	-0.57	2.13	-0.86	-0.16	-3.91	0.6	1.6	-0.24	4.18	0.67	2.64	0.49	2.13	
g71	-0.32	-0.8	1.72	0.48	1.6	-0.37	3.44	-1.03	-1.92	-4.31	-0.68	-1.08	3.18	0.36	4.02	2.62	2.05	-0.56	-0.52	1.95	
g72	-3.33	0.68	1.16	1.88	-0.73	-2.28	-0.73	-1.73	-1.04	-2.35	-2.85	-2.49	-0.47	-0.96	1.21	-2.82	1.88	-0.14	-1.85	-1.74	
g73	0.83	-1.7	-0.79	-1.02	0.52	0.12	-1.33	0.05	1.31	-3.11	0.34	0.44	-2.98	-0.32	-1.39	-0.59	-1.58	0.06	0.21	-0.85	
g74	-1.21	-4.24	-2.17	0.77	2.8	-2.68	0.32	4.17	0.74	-1.2	-0.04	-0.42	1.09	-0.12	1.63	1.79	1.53	-0.76	0.12	1.73	
g75	-1.34	-0.07	-1.8	0.31	0.09	-0.51	6.38	4.18	5.93	2.1	1.63	1.44	-0.01	3.97	-6.54	0.85	2.16	2.26	0.02	1.42	
g76	0.1	-1.1	-1.48	-1.16	-0.3	-1.22	1.61	0.79	0.13	-1.68	-0.12	4.02	0.74	-2.78	2.66	-0.82	1.8	1.67	1.37	1.13	
g77	-0.92	2.7	-3.92	-0.22	-0.23	-0.13	-0.9	-1.24	-4.21	-1.47	-1.22	-1.1	1.45	0.4	1.58	2.31	0.96	-0.51	-0.62	0.34	
g78	1.24	1.05	3.44	2.62	-0.41	1.01	-0.33	-0.71	0.43	1.63	-0.01	0.5	2.67	-1.56	-2.31	3.07	0.86	-0.77	0.0	-0.06	
g79	-1.46	0.75	-6.99	-2.36	-1.35	-0.75	-0.56	2.14	-1.52	0.09	-0.14	0.45	0.83	-1.08	-0.77	0.55	2.34	-2.63	-0.59	-2.09	
g80	-2.55	0.33	2.57	3.03	-0.46	-1.22	-1.53	-1.43	-1.5	-0.47	-1.6	-0.83	-0.28	-0.14	1.2	-2.62	2.28	-0.18	-0.26	-0.04	
g81	1.33	1.34	-0.98	-1.02	1.82	1.78	1.38	2.6	2.81	1.77	0.94	1.4	-0.01	-2.73	-2.53	2.59	-0.85	-0.29	-1.25	0.08	
g82	-1.76	4.85	2.76	0.81	1.05	1.42	-2.07	8.74	1.41	-0.9	-0.4	-0.18	-0.37	-0.67	-0.2	-0.39	3.58	-0.76	-0.01	1.26	
g83	1.05	3.58	-4.2	3.2	0.32	-0.37	-3.41	-0.56	-0.19	-0.88	-0.05	-0.13	-0.63	-0.9	-0.04	1.0	0.45	-0.12	0.53	-0.92	
g84	-1.03	0.3	1.04	1.6	-0.71	-1.79	-2.72	-1.33	-1.07	-1.59	-1.23	-1.21	-1.65	-0.24	0.61	-1.88	1.67	-0.4	-0.9	-2.34	
g85	-3.12	0.85	1.29	1.73	-0.55	-1.46	-0.51	-1.51	-1.18	-2.14	-2.26	-1.8	-0.52	-0.53	1.28	-6.63	1.83	-0.06	-1.54	-0.66	
g86	0.14	-3.49	-0.62	0.2	2.18	3.0	1.9	0.23	0.97	3.51	0.59	-0.21	-2.16	-0.17	2.76	1.82	0.78	-1.15	0.9	-0.52	
g87	1.42	1.41	0.19	1.18	1.75	-0.2	-1.77	-0.77	0.33	-2.43	-0.21	-0.07	2.9	-1.58	0.03	-1.26	0.23	0.12	0.01	2.29	
g88	-0.35	-0.14	2.37	1.69	2.24	0.24	-1.58	0.45	1.91	0.81	0.58	0.76	6.87	-0.45	-0.65	-0.8	0.3	-0.01	-0.08	0.67	
g89	-0.25	1.76	2.91	0.38	2.15	0.96	0.89	1.39	-0.77	0.45	0.26	0.01	5.06	-0.44	0.37	0.52	-0.09	-0.39	0.17	0.77	
g90	1.97	-1.88	0.15	-2.55	1.75	0.8	0.72	1.11	3.02	1.46	0.67	1.27	3.11	0.61	1.63	0.96	-1.09	0.66	-0.65	-0.55	
g91	3.09	2.73	-0.92	-7.27	1.19	-0.27	1.51	1.85	2.83	2.66	1.58	2.71	2.85	-0.39	0.89	-1.62	0.57	0.67	-0.03	1.14	
