g0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	c18	c19	c20	
g3849	0.325	-0.54	1.065	0.15500000000000003	0.65	-0.2	-1.6600000000000001	-2.25	0.7150000000000001	0.42000000000000004	-0.845	-0.135	-1.6949999999999998	1.355	-1.525	0.985	-1.305	-0.5150000000000001	0.31500000000000006	-1.9200000000000002	
g3850	0.99	-1.77	-1.19	0.68	-1.9	-0.71	0.51	1.44	0.86	0.96	0.45	1.97	-2.84	-1.41	-2.27	-2.08	0.26	0.96	0.19	0.4	
g3851	-0.36	0.78	0.25999999999999995	-0.97	0.10999999999999999	-0.125	1.0350000000000001	0.18499999999999994	3.035	0.9	1.055	1.045	1.27	0.855	0.29499999999999993	1.4849999999999999	0.17	-0.30500000000000005	-0.82	-1.41	
g3852	0.3	-1.28	-0.61	-1.88	-1.5	-0.42	0.01	-0.85	-0.59	-0.48	-0.46	-0.68	-0.47	-0.03	-0.98	0.0	-1.32	-0.24	0.5	-1.29	
g3853	0.655	0.9099999999999999	0.040000000000000036	-0.925	-0.18	1.885	-0.09499999999999997	0.75	0.92	-0.5599999999999999	0.0	-0.08000000000000007	-0.9700000000000001	0.3549999999999999	0.74	1.5799999999999998	1.0899999999999999	-0.225	-0.22499999999999998	0.8500000000000001	
g3854	2.31	-2.17	0.46499999999999997	-0.52	0.835	-0.4249999999999998	1.86	1.2449999999999999	-2.8449999999999998	1.125	0.19999999999999998	-0.035	-0.38	-0.30999999999999983	1.1800000000000002	0.125	0.06000000000000005	0.775	0.52	1.835	
g3855	1.865	1.225	-0.9	1.275	0.45500000000000007	1.11	2.315	-2.285	-1.42	0.5900000000000001	1.295	-0.10500000000000001	0.33499999999999996	-1.9500000000000002	2.075	0.6799999999999999	0.8999999999999999	-0.17999999999999994	1.27	-0.06500000000000006	
g3856	0.14499999999999996	3.165	1.155	0.04499999999999993	3.6900000000000004	0.155	-0.10000000000000009	0.040000000000000036	0.135	-0.595	-0.29499999999999993	-0.7150000000000001	2.49	-2.0999999999999996	-0.73	-0.14500000000000002	0.6	-2.9050000000000002	0.22000000000000064	-0.20999999999999996	
g3857	-1.8399999999999999	-0.79	-0.7749999999999999	1.475	0.9050000000000002	-0.835	-1.73	-1.1099999999999999	-0.06499999999999995	-0.9050000000000002	-0.395	2.035	-1.105	0.7849999999999999	-4.21	0.535	0.17999999999999994	2.53	0.11500000000000002	0.18500000000000003	
g3858	0.9450000000000001	2.75	-2.0749999999999997	-0.09999999999999998	-3.01	-0.26	-0.44	0.15000000000000002	-0.975	-0.009999999999999953	-0.18	-0.31999999999999995	2.52	-0.010000000000000009	0.74	0.6799999999999999	0.015000000000000013	-0.08500000000000002	0.08500000000000002	1.065	
g3859	0.265	0.93	0.9949999999999999	0.42500000000000004	1.25	1.305	0.18000000000000005	-0.08999999999999997	0.9650000000000001	-1.545	-0.9450000000000001	-0.955	2.485	0.485	-0.24	0.010000000000000009	0.07000000000000006	-0.895	-0.19499999999999995	0.9550000000000001	
g3860	0.94	0.44999999999999996	-2.1799999999999997	-2.11	3.735	0.335	0.0050000000000000044	0.18	0.9199999999999999	0.03999999999999998	0.525	0.405	1.9949999999999999	2.085	-0.44000000000000017	0.72	0.20000000000000007	0.20500000000000002	0.5700000000000001	-0.17999999999999994	
g3861	1.025	-0.355	0.8900000000000001	1.2599999999999998	0.595	2.495	0.595	0.515	-0.7549999999999999	0.455	0.095	0.05500000000000001	1.56	1.06	-0.8600000000000001	0.8700000000000001	1.115	0.945	1.02	1.165	
g3862	0.7399999999999999	0.8200000000000001	2.295	-0.285	-0.575	-0.725	0.86	2.695	0.3600000000000001	0.9650000000000001	-0.64	0.365	-0.5900000000000001	0.1499999999999999	1.425	-2.17	-0.49	1.2600000000000002	-0.36	-0.81	
g3863	0.10500000000000001	-0.07999999999999996	0.7	1.1	0.315	2.27	-0.030000000000000027	0.48	-0.33999999999999997	0.21	0.12000000000000001	-0.265	1.255	-0.675	-2.0149999999999997	0.3899999999999999	0.12000000000000002	-0.16499999999999998	0.15000000000000002	-0.625	
g3864	2.75	1.27	-0.8450000000000002	2.415	0.38	-2.38	-0.05500000000000016	-0.020000000000000018	0.935	-0.33999999999999997	0.64	0.21999999999999997	2.8049999999999997	0.19499999999999995	1.935	2.24	0.1150000000000001	0.21000000000000002	0.44500000000000006	-1.2550000000000001	
g3865	-0.4	0.05	1.05	-0.17	2.51	0.7	0.57	2.02	1.45	0.77	0.91	0.74	2.31	2.57	-1.12	2.74	-0.69	0.12	-0.13	0.33	
g3866	-1.9300000000000002	-1.06	3.375	-1.435	-0.325	-2.71	-0.6100000000000001	-1.09	1.22	0.78	0.2400000000000002	0.7749999999999999	-0.285	2.0749999999999997	-0.8400000000000001	-0.76	-1.345	0.07500000000000007	-1.25	-2.76	
g3867	-1.325	-0.07	1.415	0.5299999999999999	-1.055	-0.30499999999999994	0.06	-1.855	-2.23	-0.44999999999999996	-0.08999999999999986	1.3650000000000002	0.6000000000000001	0.20500000000000007	1.1800000000000002	-1.7600000000000002	1.35	1.755	-0.455	0.28500000000000003	
g3868	-0.08000000000000002	-0.77	1.35	-0.3800000000000001	-0.97	0.135	-1.5299999999999998	-3.4749999999999996	1.1749999999999998	0.3600000000000003	-0.6599999999999999	-0.605	-0.75	2.055	-2.395	-0.61	-1.04	-0.535	0.41000000000000003	-0.51	
g3869	1.23	0.44500000000000006	-1.9	-1.315	-0.034999999999999976	-0.08999999999999997	-0.245	-1.9900000000000002	2.11	1.3599999999999999	0.46	-2.215	0.745	0.265	-0.08000000000000002	-0.8	0.555	-0.30499999999999994	0.645	-0.63	
g3870	0.05500000000000016	0.4	1.1	0.24	1.155	1.62	1.065	3.4750000000000005	1.595	1.29	1.7349999999999999	1.85	0.1549999999999998	1.185	-1.185	0.10499999999999998	-0.605	0.77	0.10500000000000001	-2.2800000000000002	
g3871	-0.645	-0.6549999999999999	-0.35	0.14	-0.955	-0.895	0.024999999999999967	-0.63	0.5950000000000001	1.09	0.54	0.27	-3.005	0.9850000000000001	0.47	0.665	-0.4	0.9299999999999999	0.355	-1.46	
g3872	0.22	-0.385	-0.21500000000000008	2.4699999999999998	1.915	1.125	-0.09499999999999997	2.305	1.2650000000000001	-1.48	-0.2250000000000001	0.825	1.77	1.36	-0.9950000000000001	0.155	1.28	-1.22	0.48	-0.15000000000000002	
g3873	0.065	0.3350000000000001	-2.415	-1.395	-1.2999999999999998	-0.29000000000000004	-1.1949999999999998	-0.9600000000000001	-1.615	0.875	1.26	0.7749999999999999	-0.345	0.3400000000000001	1.505	1.055	-0.44499999999999995	-0.4700000000000001	-0.42	-4.76	
g3874	0.30499999999999994	2.69	-0.15500000000000003	0.9950000000000001	-0.905	1.315	0.24499999999999988	2.045	0.43999999999999995	-0.28	0.10999999999999988	-0.0050000000000001155	2.38	0.21499999999999997	2.675	3.1950000000000003	0.51	0.2	-4.94	-0.8850000000000002	
g3875	0.625	2.3899999999999997	-2.09	1.9249999999999998	2.5650000000000004	0.62	3.665	0.9650000000000001	-2.35	-0.86	-1.29	-0.12	3.185	-1.0299999999999998	2.3	1.6350000000000002	0.6600000000000001	0.5800000000000001	-0.30500000000000005	1.435	
g3876	-0.7649999999999999	1.39	-0.09000000000000002	0.9149999999999999	-0.8949999999999996	-0.9	1.5	-0.06	-0.06	0.5549999999999999	0.505	-0.23500000000000004	-0.275	-1.6849999999999996	0.7449999999999999	3.205	0.24	0.38000000000000006	-0.245	0.195	
g3877	-0.010000000000000009	0.10999999999999999	0.445	0.74	-0.14	-1.555	0.41999999999999993	-0.32999999999999996	-0.6499999999999999	-0.5850000000000001	-0.47	-0.71	0.18999999999999995	-0.51	0.7200000000000001	0.285	1.085	0.445	-0.08499999999999996	0.26	
g3878	-0.34500000000000003	-0.7349999999999999	0.125	-1.1949999999999998	-3.315	-0.815	2.22	-0.18	-0.41000000000000003	-1.295	-0.17500000000000004	-0.395	-1.19	-2.0700000000000003	0.6599999999999999	0.21499999999999986	0.23999999999999988	2.605	0.7150000000000001	0.5249999999999995	
g3879	1.02	-1.045	-2.075	-2.045	-2.175	-0.19499999999999984	-1.355	2.09	0.5149999999999999	1.215	1.9049999999999998	0.59	-0.5550000000000002	0.8599999999999999	-0.08499999999999996	0.81	-0.92	-0.61	-0.705	-1.63	
g3880	0.945	-1.5899999999999999	0.13999999999999999	0.59	-0.30500000000000016	0.55	0.885	0.98	-0.245	1.355	1.6149999999999998	1.35	1.08	-0.52	-0.02	0.05499999999999994	0.48	0.09000000000000002	0.64	1.2149999999999999	
g3881	0.18	1.41	-1.22	0.04	1.56	-0.35	1.19	1.0	-0.98	1.01	0.1	-0.35	1.56	-0.55	0.12	2.13	0.43	0.38	-2.7	1.07	
g3882	-0.024999999999999994	-0.41500000000000004	0.445	-2.215	-0.76	1.67	4.2	2.04	1.565	1.23	0.5700000000000001	0.9450000000000001	-3.01	0.665	1.2650000000000001	-1.795	-0.9299999999999999	-0.4	-0.135	-0.655	
g3883	-0.8400000000000001	-0.45499999999999996	0.885	0.2549999999999999	0.58	-1.8649999999999998	0.95	-0.20999999999999996	0.78	0.07000000000000006	-0.7	0.21999999999999997	-0.9249999999999999	-0.04500000000000004	0.9550000000000001	0.875	0.395	0.615	-0.25	-0.08499999999999996	
g3884	-0.935	1.455	2.13	0.485	1.6349999999999998	0.605	-1.06	2.7199999999999998	3.085	0.69	0.7300000000000001	0.5650000000000001	-1.0350000000000001	0.30000000000000004	0.595	1.435	0.44499999999999995	1.3	0.9	4.625	
g3885	-1.015	-0.165	-1.1949999999999998	0.20499999999999996	-0.41	0.25499999999999995	0.98	0.5049999999999999	0.5349999999999999	0.21500000000000002	0.74	0.6950000000000001	2.13	0.5249999999999999	-3.955	0.7500000000000001	1.42	-0.715	0.14999999999999997	-0.97	
g3886	0.8049999999999999	-0.4099999999999999	-1.9449999999999998	-2.275	0.675	1.255	-0.395	1.175	0.96	1.1	0.66	0.64	-2.07	-0.88	-2.11	-0.23499999999999988	-1.75	0.855	-0.26	-1.1400000000000001	
g3887	-0.3500000000000001	1.29	0.38	-2.0300000000000002	-0.79	-0.1299999999999999	1.1599999999999997	-1.37	0.55	4.09	-0.645	1.775	-0.9049999999999998	0.8849999999999999	0.42000000000000004	-0.43000000000000005	-0.77	-0.8500000000000001	-2.025	-2.3249999999999997	
g3888	1.415	-1.655	0.05500000000000002	-0.295	-4.34	3.3449999999999998	2.785	3.045	0.57	2.14	2.295	2.25	-2.365	1.79	-0.62	0.015000000000000013	-0.365	0.86	0.095	0.605	
g3889	-0.13	-0.04499999999999993	-0.16500000000000004	1.6349999999999998	-0.55	-1.22	0.74	-0.7000000000000002	-0.04500000000000004	0.355	0.535	-0.22000000000000003	-0.44499999999999995	-0.15500000000000003	-0.625	0.655	2.04	0.385	2.52	2.31	
g3890	0.010000000000000009	0.17999999999999994	-0.395	-0.08500000000000002	3.9699999999999998	0.3900000000000001	0.1399999999999999	0.5900000000000001	3.52	1.33	0.625	1.13	-1.0150000000000001	0.9750000000000001	-0.665	-3.1799999999999997	1.0	0.125	0.69	-0.3350000000000001	
g3891	0.14500000000000002	-0.935	0.825	-0.69	-0.66	-0.995	-0.42	-1.3199999999999998	0.27	1.715	-1.455	-0.32	-0.985	-0.11499999999999999	0.495	-3.04	0.655	-0.8049999999999999	-0.09	-1.49	
g3892	-0.14	0.38	-1.03	-1.33	1.11	1.67	-0.01	1.57	-0.63	1.76	-0.89	-0.13	1.97	1.24	-0.84	0.17	-0.56	1.09	0.15	1.22	
g3893	-0.385	-0.14	-0.55	0.9450000000000001	-0.405	-0.17999999999999994	-0.195	-0.02	-0.97	0.32	0.565	0.39	-2.4050000000000002	-0.22500000000000003	-0.18	-1.99	-0.345	0.23500000000000004	0.365	-2.075	
g3894	-0.10500000000000001	1.0699999999999998	1.245	0.9050000000000002	0.9200000000000002	0.38	0.8400000000000001	-0.3800000000000001	3.3499999999999996	1.105	1.115	1.125	-1.4500000000000002	1.3850000000000002	0.845	-0.395	1.025	0.42500000000000004	1.7299999999999998	-2.1100000000000003	
g3895	-0.22499999999999998	-2.425	1.135	-0.615	0.030000000000000027	0.335	1.595	-0.405	-1.94	-0.07	0.18500000000000005	-0.27	0.2	-0.5299999999999998	-0.75	-0.815	0.65	-0.5149999999999999	-0.7150000000000001	3.1500000000000004	
g3896	0.065	1.15	-0.5700000000000001	-0.575	0.13	-2.125	-0.49	-1.2000000000000002	-2.035	0.68	-0.7849999999999999	-0.64	0.55	-0.06499999999999995	-0.07999999999999996	1.4249999999999998	0.33	-0.03	0.5800000000000001	0.455	
g3897	0.895	0.39	0.19000000000000017	0.8949999999999999	1.0850000000000002	0.5799999999999998	1.65	0.3600000000000001	-0.585	1.505	0.885	-3.1550000000000002	2.545	1.275	1.23	1.3350000000000002	0.45999999999999996	-3.995	-0.050000000000000044	3.4899999999999998	
g3898	0.55	0.91	0.3	-0.43	-0.4	1.31	1.01	-0.39	0.24	-0.16	0.82	-0.02	0.87	0.08	-0.14	0.44	0.05	0.4	-0.08	0.97	
g3899	0.07	-1.3	-1.21	-3.19	0.88	0.78	0.12	0.05	-0.93	0.44	-0.54	0.14	-1.17	2.49	-0.62	-0.33	0.69	-0.08	-0.16	0.8	
g3900	2.84	0.32000000000000006	-0.505	0.895	-0.45499999999999996	0.6699999999999999	1.5150000000000001	2.65	1.5750000000000002	1.705	2.45	1.7599999999999998	-1.7599999999999998	0.06	1.8399999999999999	-0.705	0.3549999999999999	0.26499999999999996	0.345	0.5849999999999999	
g3901	0.05999999999999994	-1.445	-2.9	-0.32999999999999996	-0.645	0.495	-0.6200000000000001	3.3200000000000003	3.115	2.35	1.685	1.83	0.4600000000000002	-1.045	-0.12	-1.04	-0.9299999999999999	-0.265	-0.265	1.33	
g3902	1.185	-1.0300000000000002	-2.0599999999999996	0.18499999999999994	-2.56	0.895	0.8049999999999999	-0.8999999999999999	1.33	2.0650000000000004	0.355	0.30000000000000004	-0.98	-0.4	-0.345	-0.14	0.945	0.42500000000000004	-1.775	-1.23	
g3903	-0.08500000000000002	-0.9650000000000001	-1.625	-4.34	1.71	-2.785	-0.385	-3.375	-0.3599999999999999	1.36	2.6	1.83	0.8	-0.535	-0.2849999999999997	0.135	-1.115	1.82	0.54	-1.2999999999999998	
g3904	-2.1100000000000003	-1.45	1.155	3.475	-1.23	-1.5	-2.6	-0.5	1.25	-1.4	-0.65	-1.08	-0.385	-0.39	1.585	-1.67	3.1500000000000004	0.84	-1.9849999999999999	-2.145	
g3905	0.19	-0.765	-1.615	-0.47	1.1700000000000002	1.36	-0.895	0.8600000000000001	-0.22999999999999998	0.8099999999999999	0.52	0.78	-0.52	-0.7	0.145	1.06	-0.2799999999999999	-0.725	-0.46499999999999997	0.455	
g3906	0.26	-1.9	-0.92	-0.29	-0.1	-0.58	0.49	0.51	-0.24	0.0	0.12	-0.41	0.65	-0.09	0.19	-2.17	0.63	0.5	-0.03	-0.15	
g3907	4.890000000000001	-1.6550000000000002	-0.6349999999999998	-0.375	-1.38	-0.6199999999999999	1.405	-1.5150000000000001	-0.28	0.16500000000000004	0.195	0.655	-3.2049999999999996	-0.07999999999999996	-1.89	1.3199999999999998	0.91	-0.08500000000000008	-0.31	-0.44500000000000006	
g3908	0.14	-2.6399999999999997	0.4749999999999999	1.0	0.32	-0.53	-1.225	-0.6300000000000001	-0.58	1.0550000000000002	0.175	-0.12	0.22999999999999998	0.275	-1.595	-1.4900000000000002	0.39499999999999996	0.96	-0.015	-0.22499999999999998	
g3909	0.02	-0.35	-1.33	-0.41	0.49	-0.28	-0.68	-0.46	-0.19	0.55	0.32	0.21	-0.34	-0.37	-1.72	-0.77	-0.97	-0.27	-0.14	-0.63	
g3910	-0.32000000000000006	-0.9099999999999999	1.17	0.71	-2.05	-1.345	-0.15999999999999992	0.029999999999999805	-0.405	-1.205	-1.545	-0.96	1.3	0.36499999999999994	0.81	-0.42	0.4600000000000001	-0.020000000000000018	-1.3250000000000002	-1.05	
g3911	1.11	-1.1849999999999998	1.23	-0.22999999999999998	1.0349999999999993	-2.435	0.395	1.0150000000000001	2.7800000000000002	-0.11499999999999999	-0.06499999999999995	1.015	1.02	2.515	-1.74	0.8050000000000002	-1.2799999999999998	-0.28	0.32000000000000006	-1.7400000000000002	
g3912	0.05499999999999999	-1.615	-1.3599999999999999	-1.895	-0.515	1.275	-1.0899999999999999	0.13	0.595	0.855	1.055	0.36	-3.49	1.56	-2.635	-2.005	-1.275	0.985	1.44	-0.74	
g3913	-0.125	-1.2400000000000002	-2.59	0.4	0.19	-0.19	-0.5350000000000001	1.3900000000000001	-0.8999999999999999	0.010000000000000009	0.29000000000000004	-0.22499999999999998	-0.18	1.1949999999999998	0.515	0.175	0.009999999999999953	-0.135	0.02500000000000001	0.44000000000000006	
g3914	-0.605	-0.815	0.77	2.305	-0.025000000000000022	-0.555	-0.31499999999999995	-0.09000000000000008	-0.33000000000000007	-0.235	-0.21500000000000002	-0.42500000000000004	-1.6199999999999999	0.38499999999999995	1.7149999999999999	0.5850000000000001	1.295	0.455	0.2	0.905	
g3915	-1.9	0.18	0.85	2.66	-0.52	-0.22	-1.14	-0.76	-0.67	-1.09	-0.91	-0.69	-0.33	-0.73	1.11	-2.04	2.09	0.14	-1.05	-0.42	
g3916	0.20999999999999996	0.3	1.65	1.78	2.285	1.0150000000000001	-2.1999999999999997	0.40499999999999997	3.5	0.20500000000000007	1.575	1.64	0.7849999999999999	0.4750000000000001	1.415	0.83	2.205	1.165	-0.415	0.355	
g3917	-0.43500000000000005	2.4650000000000003	-2.0700000000000003	-3.0650000000000004	0.365	-1.7249999999999999	3.315	1.35	0.625	-0.63	0.31000000000000005	-0.8799999999999999	0.5549999999999999	2.05	0.36999999999999966	-1.94	0.7650000000000001	1.1600000000000001	0.7350000000000001	2.7399999999999993	
g3918	0.25999999999999995	-1.5150000000000001	-0.42000000000000004	1.33	-0.47000000000000003	0.41999999999999993	-2.055	1.395	3.525	2.075	1.9050000000000002	1.545	1.15	-2.06	0.655	1.165	-0.06999999999999995	-0.41000000000000003	-0.565	0.87	
g3919	-2.0549999999999997	0.43999999999999995	1.495	2.76	4.285	0.34500000000000003	-1.855	0.23000000000000043	-1.065	-1.42	-1.44	-1.17	3.5749999999999997	-0.375	-0.02499999999999991	-0.03000000000000025	-1.3150000000000004	-0.395	-1.1	-0.685	
g3920	0.28500000000000003	-0.7000000000000001	0.08499999999999999	-0.44500000000000006	0.32999999999999996	1.0	-0.05	-0.13	-0.33999999999999997	-0.51	-0.06	-0.5	0.58	-0.825	0.18	-1.33	-0.575	0.255	0.5549999999999999	-0.030000000000000027	
g3921	0.09499999999999997	0.4149999999999998	-0.07499999999999996	0.7650000000000001	-0.79	0.33999999999999997	-1.41	0.47	0.615	0.495	0.0050000000000000044	0.12	-0.33999999999999997	-2.285	-1.18	-1.15	-1.495	-1.045	-0.32999999999999996	0.325	
g3922	-0.020000000000000018	0.27	1.875	0.475	-0.94	1.0250000000000001	2.1550000000000002	0.855	-0.17999999999999994	-0.565	-0.395	0.385	2.065	-0.36	2.6950000000000003	0.4049999999999999	1.07	-3.5549999999999997	-3.445	-1.3099999999999998	
g3923	-0.20500000000000007	0.925	-0.97	-0.009999999999999898	0.545	-0.6	-2.205	0.05499999999999999	0.010000000000000009	-0.31000000000000005	0.16	0.095	1.27	3.7849999999999997	2.62	1.975	0.32999999999999996	0.14500000000000002	0.42000000000000004	0.8150000000000001	
g3924	-1.8050000000000002	1.7600000000000002	0.2350000000000001	-0.3700000000000001	-1.63	-0.645	-1.435	0.1100000000000001	-1.28	0.29499999999999993	-0.30000000000000004	0.56	-1.39	-0.86	-0.31499999999999995	-1.995	1.275	0.0	-0.30500000000000005	1.5199999999999998	
g3925	0.585	0.5150000000000001	0.44000000000000006	0.25	-1.915	1.34	0.235	-0.15	-1.15	-1.4500000000000002	-0.16	-0.21500000000000002	-0.355	-0.49	0.38	1.9600000000000002	-0.009999999999999981	0.044999999999999984	0.09	0.135	
g3926	-0.865	-0.8399999999999999	-2.575	-1.79	-2.0149999999999997	-1.0	-0.425	0.59	1.7249999999999999	0.4049999999999999	0.8799999999999999	0.7100000000000001	0.009999999999999787	0.1349999999999999	-1.51	-0.5350000000000001	-1.0699999999999998	-0.6100000000000001	0.06999999999999999	-0.43500000000000005	
g3927	0.915	0.905	1.0550000000000002	-1.51	-1.245	1.28	0.165	0.29000000000000004	0.405	-0.575	0.63	1.65	-2.16	-1.205	-0.8300000000000001	0.38	-1.58	0.61	-0.235	-1.2	
g3928	1.3	-1.11	0.7250000000000001	0.28500000000000003	1.7550000000000001	0.20999999999999996	0.55	0.10499999999999998	-2.415	0.925	0.8099999999999999	-0.020000000000000018	1.615	-1.195	-0.8700000000000001	0.44000000000000006	0.16000000000000003	0.375	0.62	1.025	
g3929	0.645	0.665	0.265	0.31499999999999995	0.755	-0.46499999999999997	0.125	-0.32999999999999996	-1.3949999999999998	1.595	1.27	-0.42000000000000004	3.66	-1.5350000000000001	0.6950000000000001	2.865	-1.8399999999999999	-1.77	-1.0	1.9849999999999999	
g3930	-0.84	-0.04	-2.43	0.0	-0.5	-0.21	-0.73	-0.56	0.25	0.18	0.18	-0.24	0.17	0.14	0.21	-1.97	-0.44	0.52	0.15	-0.33	
g3931	-0.03	-0.61	0.06	-0.17	0.74	-0.74	-0.33	0.2	-0.36	-0.29	0.5	-0.05	-0.31	-3.48	2.77	-2.12	0.46	0.84	0.37	1.92	
g3932	0.79	-2.28	-0.99	-0.28	-0.1	-0.14	-1.7	0.55	0.2	0.73	0.14	0.3	1.51	-0.54	1.13	-0.11	0.34	-0.21	-0.13	0.27	
g3933	-1.155	0.15	-0.45	-1.175	-0.615	0.010000000000000009	1.155	1.1349999999999998	-0.9300000000000002	1.095	-0.16000000000000003	-1.6400000000000001	0.08499999999999996	0.030000000000000027	1.0399999999999998	-4.785	-0.52	-0.3500000000000001	-0.59	-0.6000000000000001	
g3934	0.43499999999999994	-0.31999999999999995	-2.3449999999999998	-0.6749999999999998	-0.32499999999999996	0.74	-0.625	0.135	0.11999999999999988	1.9649999999999999	0.715	0.975	2.125	-0.675	-1.5699999999999998	-0.675	-1.24	0.8250000000000002	-0.085	0.11500000000000002	
g3935	0.27	-0.41	0.25	0.03	-0.17	0.4	-0.79	-1.3	1.6	1.39	0.53	0.37	0.73	-0.21	-1.43	-0.12	-0.5	0.02	0.14	-0.87	
g3936	-1.5350000000000001	1.0599999999999998	-2.7449999999999997	1.5499999999999998	3.4850000000000003	-2.835	0.35999999999999993	1.1749999999999998	1.31	-0.08999999999999997	-2.2699999999999996	2.005	-0.3700000000000001	1.0650000000000002	-0.6749999999999999	-0.9749999999999996	-1.2650000000000001	0.0	-0.33999999999999997	2.0250000000000004	
g3937	-0.365	-1.0150000000000001	-1.185	2.2199999999999998	-0.24	-0.74	-2.67	-0.625	-0.925	-0.45	-0.11499999999999999	-0.49	-4.675	-0.69	-0.915	-1.52	-1.1199999999999999	0.295	0.5349999999999999	-2.245	
g3938	0.38	-1.715	-0.035	-0.32999999999999996	1.02	1.405	-0.13	-0.44000000000000006	-1.2149999999999999	0.039999999999999925	0.115	-0.5550000000000002	-0.29499999999999993	2.58	-0.905	0.5450000000000002	1.395	-0.925	1.07	1.5550000000000002	
g3939	0.315	0.13500000000000023	0.07999999999999999	-0.22	0.65	2.12	-1.5499999999999998	-0.03999999999999998	-0.475	0.8700000000000001	0.13999999999999999	0.435	-1.97	-0.26	1.0750000000000002	0.465	-0.2899999999999999	-0.26	0.05499999999999999	0.4700000000000001	
g3940	1.36	-0.16999999999999993	-1.6400000000000001	-2.255	-0.7450000000000001	-0.09999999999999998	-2.3449999999999998	0.06499999999999995	3.925	2.08	0.040000000000000036	-0.06500000000000017	-0.08000000000000002	0.23499999999999988	-1.815	1.76	-1.3199999999999998	-1.365	-0.16000000000000003	-0.985	
g3941	-0.98	-0.12	-0.655	3.8950000000000005	-0.865	0.36	-0.05499999999999999	0.36	-1.265	-1.175	-0.855	-0.72	0.06000000000000005	-0.15000000000000013	1.375	-0.275	-1.315	-0.49	-0.28500000000000003	-0.125	
g3942	0.20000000000000007	-0.41500000000000004	-1.38	2.125	-1.395	0.18500000000000005	-4.575	0.3350000000000001	-1.07	-0.16499999999999992	-0.09500000000000003	-0.305	0.51	-0.10999999999999999	1.96	-0.25	0.655	0.5149999999999999	0.0	1.225	
g3943	0.36	-0.7250000000000001	-0.38	-0.05500000000000016	-0.385	0.36	0.6849999999999998	1.1800000000000002	-0.3600000000000001	0.33999999999999997	0.21999999999999997	0.45	-2.59	-0.13999999999999999	-0.44999999999999996	-4.35	-0.0050000000000000044	-0.03999999999999998	-0.12	-0.51	
g3944	0.6200000000000001	0.11500000000000021	-0.655	-2.0300000000000002	-0.7799999999999998	0.24499999999999997	-0.39	0.835	-1.7850000000000001	-0.14000000000000012	0.36	0.755	2.62	-1.54	0.0	-0.10999999999999999	-0.555	-0.29000000000000004	0.36000000000000004	0.815	
g3945	-0.6799999999999999	-0.20500000000000002	4.05	-0.24	-1.785	1.085	0.41500000000000004	1.245	0.9900000000000001	0.965	1.15	0.9950000000000001	-2.05	-0.16999999999999998	-0.185	-1.65	-0.26	0.28	0.07500000000000001	-1.075	
g3946	0.95	-1.5350000000000001	-0.5150000000000001	-2.0599999999999996	0.9099999999999999	-0.8450000000000002	0.6350000000000002	0.81	0.125	0.04499999999999993	-0.3999999999999999	0.98	2.09	2.585	0.020000000000000018	0.22499999999999987	-1.6400000000000001	-1.295	1.7999999999999998	-1.31	
g3947	0.004999999999999977	-1.3	-0.125	-1.23	-1.755	-0.05000000000000002	-1.145	1.3599999999999999	3.3200000000000003	2.04	2.62	2.23	0.04500000000000037	-0.475	-1.165	-1.555	-0.74	-0.45000000000000007	-0.165	1.4749999999999999	
g3948	0.645	3.1849999999999996	2.635	-0.345	0.525	1.5099999999999998	0.31500000000000006	0.20500000000000007	-0.1599999999999997	0.0050000000000000044	-0.8200000000000001	-0.45499999999999996	1.295	-1.0699999999999998	1.77	-1.625	1.5349999999999997	0.79	-0.21999999999999997	0.1250000000000001	
g3949	0.755	0.3699999999999999	-0.63	0.5800000000000001	-0.47000000000000003	-0.545	2.37	0.475	-1.3299999999999998	-0.77	2.1849999999999996	3.01	1.595	2.0	0.8450000000000002	1.365	0.345	-0.45499999999999996	1.835	1.17	
g3950	1.35	-1.325	0.6500000000000001	-0.014999999999999986	-1.42	0.3	1.245	1.305	-0.88	-2.21	-0.315	-0.945	-2.895	1.445	-0.875	-0.32	-0.21500000000000002	-0.195	-0.07499999999999996	-1.935	
g3951	1.27	0.75	0.25	-0.51	3.27	0.69	-0.69	0.76	1.94	0.48	0.37	0.67	-0.34	0.97	0.48	0.79	0.54	-0.25	0.14	0.63	
g3952	0.91	0.495	2.3899999999999997	-0.565	2.3600000000000003	-4.16	-0.18000000000000005	-0.5650000000000001	0.28500000000000003	-0.19	1.11	0.6249999999999999	1.43	0.03500000000000003	-0.42999999999999994	1.275	-2.8600000000000003	0.17500000000000004	0.8500000000000001	0.29999999999999993	
g3953	0.9049999999999999	-0.935	0.74	-1.765	-1.415	-1.955	-1.6800000000000002	-1.075	-0.8300000000000001	-0.795	-0.39	-0.525	2.9050000000000002	-0.73	-3.365	-2.0300000000000002	-0.7549999999999999	-0.125	0.175	-1.085	
g3954	0.18	-0.385	-0.19	-0.14500000000000002	-1.2349999999999999	1.05	-0.9299999999999999	0.655	-0.09499999999999997	1.81	1.2299999999999998	0.1	-0.26	-2.855	-2.44	0.805	-1.375	1.495	-1.4649999999999999	-0.10499999999999998	
