,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20
g2421,4.631182665684161620e-02,5.525840657872154588e-02,5.496781393788680026e-02,5.352790747429046758e-02,7.605804381774371181e-02,6.412687826177429495e-02,5.150998050069970080e-02,7.050626795517916934e-02,5.793486661619293154e-02,4.410161656140726416e-02,4.969404048881277680e-02,5.194374514557827810e-02,7.195614603904597339e-02,4.402138068422774969e-02,7.194351140817552281e-02,7.014916331738477173e-02,5.194615144979165822e-02,2.958908578615309162e-02,3.662623947161051940e-02,5.564465557933267331e-02
g2422,1.847170514498036598e-02,2.980344936499785755e-02,2.810023989251488746e-02,2.439104840733800211e-02,3.303498126480609864e-02,2.640085527361460058e-02,2.375510734011141226e-02,2.551522521159222887e-02,2.159973666184225594e-02,2.085045209232000429e-02,2.022443312431243534e-02,2.198217580368878876e-02,2.794051794679977552e-02,1.915214680315606086e-02,3.179505233933822145e-02,2.998429218429521370e-02,1.908347511834589463e-02,1.258359338241968155e-02,1.399936462961411283e-02,2.590100311209401346e-02
g2423,1.359796541402448766e-01,1.521771768992236373e-01,1.399180798839170237e-01,1.055786434869541157e-01,1.845411094153036058e-01,1.649827028833923126e-01,1.395887243977305125e-01,1.447845431074744893e-01,1.265572289078689405e-01,9.129402889145876721e-02,1.060775345430683136e-01,1.292164267933222643e-01,2.097359701733907678e-01,1.261232410401782467e-01,2.149859258890196856e-01,1.506034022941643846e-01,1.312005707132930521e-01,8.460189541856921736e-02,1.045144257114944825e-01,1.559554282638362932e-01
g2424,1.037296026999027093e-01,8.933028006218624029e-02,7.840805950771900790e-02,1.048106945438215670e-01,1.322087201195948358e-01,1.172132411727937057e-01,1.125310936866168315e-01,1.362145153684599097e-01,1.120160123418689202e-01,8.286531050708183244e-02,8.049213235762531227e-02,9.573788462571834745e-02,1.447895510390156404e-01,8.776475422372616297e-02,1.223857130032811324e-01,1.372785016428768878e-01,9.245350468955346179e-02,6.092350105076586170e-02,8.258033629801878051e-02,9.313631101679867297e-02
g2425,8.125711779620489739e-02,8.573760076464806423e-02,6.592877384028417165e-02,1.011378530946736298e-01,1.010438603983561667e-01,8.406761331241793811e-02,1.049468943903239387e-01,9.688858848324127804e-02,8.060275978061873237e-02,8.059788528055808476e-02,5.575690585096122059e-02,7.338705712859809605e-02,9.892598484920263335e-02,6.955065578847699492e-02,8.251722994888099905e-02,1.192811679174815426e-01,5.427607624152267635e-02,4.831936641999851068e-02,6.249578309197731385e-02,7.087302017861583925e-02
g2426,1.180877685031348351e-01,1.500740714100244344e-01,1.419902273459178188e-01,1.211665863195557913e-01,1.880127013381126255e-01,1.596869372734572579e-01,1.278985880524353691e-01,1.665476344627728755e-01,1.389724275227526840e-01,1.002554643824402902e-01,1.017398958569593614e-01,1.284666170698197940e-01,1.821577690735691757e-01,1.168358908400932844e-01,1.916636988040616163e-01,1.649226511087829028e-01,1.242418308088000661e-01,7.718031563954298735e-02,1.038874685196419095e-01,1.443492881518344817e-01
g2427,1.395178698894564487e-02,1.209748066020583344e-02,8.482482640263532686e-03,1.297348025932917003e-02,1.468948996259429943e-02,1.321598272426981191e-02,1.588483686940962356e-02,1.467073205695337140e-02,1.239861041410617905e-02,1.011690726677386652e-02,6.142822792769260000e-03,1.109736628466740337e-02,1.736125121425597176e-02,1.164969049044646369e-02,1.411481476907345753e-02,1.659960003698643036e-02,8.863044470403870848e-03,8.081290729670249223e-03,1.181186943282134735e-02,1.084158357972813194e-02
g2428,9.982095813322536260e-02,8.323330662313503658e-02,6.243187257048060657e-02,9.979638261798591536e-02,1.035964934636953022e-01,9.289039860135026028e-02,1.203143044655082816e-01,9.103268180493628847e-02,7.893335200244844252e-02,8.172895828889358005e-02,7.203837178049977974e-02,7.830479007276687498e-02,1.260082268378269199e-01,7.739472788755506760e-02,9.827647071346271024e-02,1.193812967605118597e-01,6.578326729911274096e-02,5.544700974652131548e-02,6.179286834505019754e-02,7.969344356851632005e-02
g2429,2.490509361064745936e-02,3.765964677481173362e-02,3.601060062735963324e-02,2.850391437464379341e-02,4.511731386350260192e-02,3.710841395768271073e-02,2.768396754953359601e-02,4.005491620978389455e-02,3.307091688446929523e-02,2.346650021316616999e-02,2.166077979658601049e-02,3.010243474836262617e-02,3.934518312414274355e-02,2.693091968252428817e-02,4.481393707032503559e-02,3.878835158605821454e-02,2.805960136297966367e-02,1.735434228207910837e-02,2.483837212696297925e-02,3.414183000524825817e-02
g2430,4.199456200549621376e-02,6.155117481586678402e-02,5.304212843293558410e-02,6.019232884487493718e-02,6.631222286911041264e-02,5.219717493735814839e-02,5.820589012155061998e-02,5.475966315179262717e-02,4.596949074020432319e-02,4.985362095005604205e-02,3.889107714821284090e-02,4.539218602899684762e-02,5.523247095311313581e-02,4.055839218933750268e-02,5.669345734360065059e-02,7.001468956274298217e-02,3.381757521260307653e-02,2.725939492389151120e-02,3.146760162252691673e-02,4.930367387612844682e-02
g2431,8.946454967647637924e-02,1.008205720908048053e-01,9.110650065473353820e-02,9.679974769947986835e-02,1.269750024746287287e-01,1.083459365975775607e-01,1.036927369791385001e-01,1.117640232654631416e-01,9.398161970803292631e-02,8.006194056706771034e-02,7.930344775634218246e-02,8.895029169056062335e-02,1.285183427593261374e-01,8.098751138886645107e-02,1.232223683433567724e-01,1.231855914980966027e-01,8.226760274549824170e-02,5.515009309048791303e-02,6.688021909489355599e-02,9.647839151405462887e-02
g2432,1.033387829599051455e-01,7.762881562235478261e-02,6.359473499992647494e-02,7.864779206514653509e-02,1.104169515550697395e-01,1.043752813884491759e-01,1.057108746898871715e-01,1.036340513864910662e-01,8.892261701782568084e-02,6.379126834785919797e-02,6.741803581838592963e-02,8.279152733249801888e-02,1.445268957803449716e-01,8.327180023299105005e-02,1.209097131529801583e-01,1.083204749711124959e-01,8.347924830231218118e-02,5.842567284187379084e-02,7.556151487844495196e-02,8.703288091217908917e-02
g2433,7.968464742318621952e-02,7.601154287122303954e-02,7.568177430288894336e-02,6.907236341005981717e-02,1.166469706828346803e-01,1.043516590214834810e-01,7.531889092697374721e-02,1.168564374840677378e-01,9.595613584909333527e-02,5.531064876658556978e-02,6.719019555058261539e-02,8.163160943352032461e-02,1.260482330461820955e-01,7.345589638008649669e-02,1.206704360953358979e-01,1.016288380881247982e-01,8.882470193654462554e-02,4.941825036682750971e-02,7.073115625232688497e-02,8.593247620435523482e-02
g2434,4.585952702178117818e-02,6.306278032676417011e-02,5.806614813240280892e-02,5.765889671333705724e-02,7.479385776415427289e-02,6.108112134125489451e-02,5.651922301014392080e-02,6.452362720388028772e-02,5.375454134006042717e-02,4.780390085723686122e-02,4.409804182249528470e-02,5.092274150993705839e-02,6.663561206477996990e-02,4.494809297428145611e-02,6.945233311736766224e-02,7.184469482247342331e-02,4.462343366728459271e-02,2.995907373611091801e-02,3.678296306310202546e-02,5.606045811516831984e-02
g2435,1.927827933668569554e-02,3.330495130670085846e-02,3.191100149299413991e-02,2.329364207588133923e-02,3.564653238723789613e-02,2.869672582199336852e-02,2.393964476223777935e-02,2.528506308241396452e-02,2.183429026671798029e-02,2.048922069143847141e-02,2.123261790422554737e-02,2.344422924050795082e-02,3.077366927150691073e-02,2.083361184736677932e-02,3.713010889366660794e-02,2.956261173884737470e-02,2.109559271915372944e-02,1.349549613091474524e-02,1.475340614701806281e-02,2.939323004185665986e-02
