,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20
g1983,1.217555035092050819e-01,8.119122526610883517e-02,8.056569380492822896e-02,8.697193900968408498e-02,1.159163798961986014e-01,9.169961939246765170e-02,1.055989472554554331e-01,1.062790542266325300e-01,8.841277070979267072e-02,7.599544372994199160e-02,6.153085449518881644e-02,7.923043618091653306e-02,1.320470092750212487e-01,7.980903769158712024e-02,8.722294031713692664e-02,1.188345794219206608e-01,6.084522374177998849e-02,3.400191611793419028e-02,6.597411096152586141e-02,1.071030321683133363e-01
g1984,2.184848112629153918e-02,1.300750658655092790e-02,1.494085968240105658e-02,1.933037274090735821e-02,1.984641664450547890e-02,1.666341117730040303e-02,1.685897371693495170e-02,1.742431108420185518e-02,1.659272216688574900e-02,1.306757287061590528e-02,1.139202563968404538e-02,1.382513089000796461e-02,2.336980071338027806e-02,1.572899137221994009e-02,1.447394147518151972e-02,2.218141776975353016e-02,1.194447820970660074e-02,7.211726395616041563e-03,1.233367720245917218e-02,1.969250705441903671e-02
g1985,2.352973384723476558e-02,1.159320667495283494e-02,1.551224366547323576e-02,2.610438562783304328e-02,2.285212041699982710e-02,1.932554618832734578e-02,1.697097522628029584e-02,1.579118232371253330e-02,1.771608773452476582e-02,1.307395107594419917e-02,1.287364839298005964e-02,1.294479502069953783e-02,2.468497004275305162e-02,1.716492427825432737e-02,1.345210914887454839e-02,2.692297127832837811e-02,1.412786834604378219e-02,1.032749980696801191e-02,1.523215132720750868e-02,2.154221797727195672e-02
g1986,1.841577988723959447e-01,1.312546628435237728e-01,1.581425368750922211e-01,1.367851823834255742e-01,1.853972850478013690e-01,1.423402840297961769e-01,1.505448943621675306e-01,2.025199569008996614e-01,1.526558746178640069e-01,1.331404201334603910e-01,1.032178804477814210e-01,1.350072370827861690e-01,2.219225834906632944e-01,1.311140132221117749e-01,1.127830050207574986e-01,1.989451916105808016e-01,1.030989356126100626e-01,6.463377608489197235e-02,1.032478326587486922e-01,1.622226583947052325e-01
g1987,2.327612132500746778e-01,1.020541183360241522e-01,2.155594371819384292e-01,2.525676350510361323e-01,2.017481266502787196e-01,1.622259483631037225e-01,1.678462372788707690e-01,1.963592208890006519e-01,1.907749475935142103e-01,1.470679373902614995e-01,1.183531345652026473e-01,1.203056260636380381e-01,2.539935361149120441e-01,2.390802926753889668e-01,1.146576388962566306e-01,2.116008825660568859e-01,1.119639614157417057e-01,1.132297137567841450e-01,1.221072662336965681e-01,2.288487833924807979e-01
g1988,2.974660478199119273e-01,1.828103188320636674e-01,2.328915495509848443e-01,2.347671322592409238e-01,2.968030040119684076e-01,2.223294990164397522e-01,2.597642536287071979e-01,2.790162575186095339e-01,2.234565488941365197e-01,1.960453378331651897e-01,1.524623735407460712e-01,1.782154630870980416e-01,3.334629641401775646e-01,2.262646087158813601e-01,1.843481366951412181e-01,2.920376413796284543e-01,1.423095853097795793e-01,1.107008284289059813e-01,1.630769554727644621e-01,2.696496380083479028e-01
g1989,4.329188285636016431e-01,2.265001427573957171e-01,3.102420159519331255e-01,4.081424253079002362e-01,3.399711704145921831e-01,3.020620972873608867e-01,3.140454091107447443e-01,3.149349957820735679e-01,3.323045058321849043e-01,2.467561874062290106e-01,2.110998521348529944e-01,2.565879179380175512e-01,4.423806808935085710e-01,3.708183777837636974e-01,2.871479738659144521e-01,3.785046369483769380e-01,2.163807474805047870e-01,1.403730812109640624e-01,2.184296466090898114e-01,4.070383463632585852e-01
g1990,2.474091266034011971e-01,9.375915218060140721e-02,9.399829188349773101e-02,2.823680471780098955e-01,2.067948256323731970e-01,1.918296454476841606e-01,1.851838157920048800e-01,7.022812873001239853e-02,1.516288345530014681e-01,9.644768259187833093e-02,1.137773122505784662e-01,1.014712458879403340e-01,2.099612639566746375e-01,1.747995365741805696e-01,1.758984715576548119e-01,2.372197598956543307e-01,1.269328887693180752e-01,8.542030613564614849e-02,1.505689423143626027e-01,2.306725565358273555e-01
g1991,2.934233602114476036e-01,1.752680244142872934e-01,1.861400925288902442e-01,2.476818408966989515e-01,1.948373507600918153e-01,1.975744588608756291e-01,1.981114195397613853e-01,2.058660029200032049e-01,2.284488252528446561e-01,1.609093857148812812e-01,1.406121612877642979e-01,2.044518510279972334e-01,2.916834662978117776e-01,2.319154957930346095e-01,2.286792526333610576e-01,2.404964715120123941e-01,1.548238642430252721e-01,5.727372719236631382e-02,1.352120056126973335e-01,2.694848916991146037e-01
g1992,9.938979640609424404e-02,5.996637136759579156e-02,5.374568171653628518e-02,9.969646451048247426e-02,8.437456150292108048e-02,8.155593987499180908e-02,6.400579815056549327e-02,6.409109768931613160e-02,7.701366579996973827e-02,5.280084721697706623e-02,5.527485622299436324e-02,6.994607264999935792e-02,1.022460675861665974e-01,5.951115984016838029e-02,7.069257487087189651e-02,1.139191675911404855e-01,6.699434685119549926e-02,2.812203379941329365e-02,6.184556376542715839e-02,8.699498716853767966e-02
g1993,1.284898322339320664e-01,6.258052847959036380e-02,6.704258654701752973e-02,1.447316334906399438e-01,1.070449883766824428e-01,1.031863963772858273e-01,8.315255519629485836e-02,6.510476482580729307e-02,9.459842133456747293e-02,6.171575400233227093e-02,6.783855935189324338e-02,7.494105606592024738e-02,1.242991917801450352e-01,8.844174473503189915e-02,8.634703660814915804e-02,1.397596941662338499e-01,8.051893589341696522e-02,4.385744671226415869e-02,8.003181094843089816e-02,1.169559436822855403e-01
g1994,8.010337002291070818e-02,4.173609832699791411e-02,4.701182410880051094e-02,8.116752416252695501e-02,6.082279631981558216e-02,5.924993098354132404e-02,5.316588170406721936e-02,4.746887864060740647e-02,6.040370410912718896e-02,4.097623527707580648e-02,4.026298309298816103e-02,4.942618068787325847e-02,7.834772911343206026e-02,6.066230616177502311e-02,5.663604394032224765e-02,7.657610806953205063e-02,4.577322424657234712e-02,2.322169790950821822e-02,4.386022882830410002e-02,7.375066038181860018e-02
g1995,8.592703340576428317e-03,4.640049305841365511e-03,5.350734872506836964e-03,8.454365368573236311e-03,7.419666859413870906e-03,6.594045897341640865e-03,6.214167527511580032e-03,5.759291447965087483e-03,6.417044151881369680e-03,4.697062346737374168e-03,4.435920043198711415e-03,5.164332866844313988e-03,8.764509364986948839e-03,6.261182378103603667e-03,5.733557661745609067e-03,8.738695623491504402e-03,4.854112036212077444e-03,2.871201539276918568e-03,4.960227405171711498e-03,7.829560258551573546e-03
g1996,1.462912227412442867e-01,9.058013175166744479e-02,9.419428329798344712e-02,1.088518950793867929e-01,1.200680292301031793e-01,1.019639397001160241e-01,1.198702430321174767e-01,1.141323088385075846e-01,1.060181962104455589e-01,8.538071565722385459e-02,6.911816116410621214e-02,9.273476284034548600e-02,1.500917353307192614e-01,1.082623071142201493e-01,1.102094492856872665e-01,1.239924232499157730e-01,6.838993405044366258e-02,3.499217342194099051e-02,7.109413249921124611e-02,1.324121399724353942e-01
g1997,1.639778405880215340e-01,8.072148220650665618e-02,9.004429880686773413e-02,1.745063876294106198e-01,1.454946933976909162e-01,1.302735780539647226e-01,1.181265855446261837e-01,9.139059129203352949e-02,1.169669114539012983e-01,8.238538870906868261e-02,8.449496590452443279e-02,8.987568433100057153e-02,1.608993781352845431e-01,1.145530221490213274e-01,1.082760030158092246e-01,1.735814027375565949e-01,9.461036509621914559e-02,5.881316287178108004e-02,1.007030933354037538e-01,1.495263992639453421e-01
g1998,1.457597666215433851e-01,6.428954335931331976e-02,1.326484391778433858e-01,1.455484269522379359e-01,1.040601068489089426e-01,8.958194183474274541e-02,1.032783023376339510e-01,1.175671411847965114e-01,1.185457367113642718e-01,8.883960034872837030e-02,6.720616697516990090e-02,7.778698224538421746e-02,1.515309915009181718e-01,1.600455349001664307e-01,8.410741746449497402e-02,1.047599005145891660e-01,6.095151515950257559e-02,5.726610708106803782e-02,6.279795979753199919e-02,1.457617165941248738e-01
g1999,2.285912060158025449e-01,1.402274230617891471e-01,1.561224963159419110e-01,1.706920169604054238e-01,1.864989435815795071e-01,1.568243440681070799e-01,1.869320696542306481e-01,1.849314113683343530e-01,1.683319010283182426e-01,1.363836742114336864e-01,1.077932882999922959e-01,1.443729916239127331e-01,2.370041449173743153e-01,1.772122704128471227e-01,1.684151280186270139e-01,1.898446922308739682e-01,1.046507556968089697e-01,5.745860366232919542e-02,1.087533596388651630e-01,2.086553038844770058e-01
g2000,4.133181039713741400e-01,2.193581616538833046e-01,1.860469700918506442e-01,4.076287532371608013e-01,4.027954128134342282e-01,3.440532665124364509e-01,3.306624000622135906e-01,2.201382263542076001e-01,2.714648986574023648e-01,2.024053932637404352e-01,2.123115433801306129e-01,2.206717631455295814e-01,4.015699981560273968e-01,2.371240282408372257e-01,2.895777175891179334e-01,4.595519992010763111e-01,2.361651061862848899e-01,1.394176288907020278e-01,2.679995660878564667e-01,3.645622835961714325e-01
g2001,3.659956838648795174e-01,2.153898096489605118e-01,2.197597320156376155e-01,3.173019404627714923e-01,3.181259545455083493e-01,2.758110115659285211e-01,2.843095770019438140e-01,2.596070401555844454e-01,2.657738795950677635e-01,2.043479823771288117e-01,1.837175757325226755e-01,2.269588756733156021e-01,3.741005179929712821e-01,2.523887306776400052e-01,2.618721117367342477e-01,3.565976453268506763e-01,1.952342328401986404e-01,1.048208208434407152e-01,2.024904514536687850e-01,3.285586873154022758e-01
g2002,2.374356208300181792e-01,1.190266486416346192e-01,1.190345252232492407e-01,2.654294344689294149e-01,2.385496930024761375e-01,2.065093767317498497e-01,1.741690316589444565e-01,1.288675824255763602e-01,1.661800038231659449e-01,1.186352892553623195e-01,1.306925656806884051e-01,1.284317243419194898e-01,2.380320571322208922e-01,1.407996002829917104e-01,1.487282497807942416e-01,2.896683776767447482e-01,1.510045334835216080e-01,9.633158585884923908e-02,1.652725781499659596e-01,2.107532542000127573e-01
g2003,1.337560514545078905e-01,6.260180523411056075e-02,8.256374943187363979e-02,1.328232711493510243e-01,1.031600767894179926e-01,9.368074917871861695e-02,9.839140738750412618e-02,7.756278719541612188e-02,9.570218846949964109e-02,6.813162477108561377e-02,6.227557660125242200e-02,7.032368704878133592e-02,1.277852173155429316e-01,1.124138677088865473e-01,9.199372911806247277e-02,1.137430835668526707e-01,6.433289877726183770e-02,4.285418933678310227e-02,6.885356272390465160e-02,1.265331020034391463e-01
g2004,1.134380903264139706e-01,4.753540579099116425e-02,7.560017044603536962e-02,1.309147261281757846e-01,7.931217692427369736e-02,7.987678401030798292e-02,6.910985323464524654e-02,6.157790514619074923e-02,8.813341355643503072e-02,5.646086013143262333e-02,5.563253847693268306e-02,6.243087622411341159e-02,1.085988026832559739e-01,1.034621053026548443e-01,7.239336452588571169e-02,1.011136061205732684e-01,6.209279284241162045e-02,4.034781633945056650e-02,5.980355875691999168e-02,1.095403711774085992e-01
g2005,1.040388143901124218e-01,5.893001689634943391e-02,4.694725013693268334e-02,1.088654002465099524e-01,8.208599035171593172e-02,8.460726779107929918e-02,6.421672026643017450e-02,5.325510330348232763e-02,7.765524270235422966e-02,4.936507107855798993e-02,5.601713204621989323e-02,7.056804217566647885e-02,1.005734616551290095e-01,6.125188513420929542e-02,7.824239856812924276e-02,1.156313586241955599e-01,7.007274183288586533e-02,2.629130744134331246e-02,6.426330847772349086e-02,9.153029485702868229e-02
g2006,5.211251121414930965e-02,3.199113875220015168e-02,3.670232533529941416e-02,3.590949266168263349e-02,4.907862792053934581e-02,3.658831460708701633e-02,4.849568269336956838e-02,4.516106943036542198e-02,3.619663856473744751e-02,3.252464207844953104e-02,2.422360866099533203e-02,2.949926805995072010e-02,5.529201675852186276e-02,3.946533979652983026e-02,3.652909838393280512e-02,4.418170947467689458e-02,2.107345768113755985e-02,1.574999566757189287e-02,2.585063405152802918e-02,4.736428162300310857e-02
g2007,1.669823570886206920e-01,7.133509371498088225e-02,1.245240678890294911e-01,1.864555028045303819e-01,1.186106579992620980e-01,1.140491581667050780e-01,1.057388546406666241e-01,1.050753044216431592e-01,1.324902027566773055e-01,8.929135652602875062e-02,8.132483355037140038e-02,9.184571579020110732e-02,1.650456907487920788e-01,1.611563471162155703e-01,1.022733644776685630e-01,1.428588978634210693e-01,8.640513352159465144e-02,6.230243153301215364e-02,8.424763801553936116e-02,1.627868378758639545e-01
g2008,1.516726891596354432e-01,1.009952602702128277e-01,9.715380268212216175e-02,1.094047962033168342e-01,1.473608794630705821e-01,1.161698558040444446e-01,1.325958317401115250e-01,1.299337014737260987e-01,1.087034546700746951e-01,9.369734490487240108e-02,7.709048204748407407e-02,9.763115365235031096e-02,1.639775652463714428e-01,9.585908186084535210e-02,1.086798004686855140e-01,1.515644497711456096e-01,7.677803281707137883e-02,4.303057141059703911e-02,8.431779542571148089e-02,1.327110878276492323e-01
g2009,9.073827649540268381e-02,4.900888845345126310e-02,6.945072316705640236e-02,8.154122051158517459e-02,6.209730759035680947e-02,5.863849900333692466e-02,6.245818012234483074e-02,6.968582141252750717e-02,7.264866588725452101e-02,5.290689622183709917e-02,4.298125743397924331e-02,5.791564103629306265e-02,9.276354878027029405e-02,8.383807463388182057e-02,6.281927858012527344e-02,7.042174767704294236e-02,4.377051791416732007e-02,2.513543224442715135e-02,4.032376749732904941e-02,8.640645618719851317e-02
g2010,1.948594898593612457e-01,1.083810632202257124e-01,1.725657997712986003e-01,1.631079872454200830e-01,1.657892262516338366e-01,1.296242035148393867e-01,1.568924906540892783e-01,1.829053464257808792e-01,1.549070451591295638e-01,1.286620047390815980e-01,9.445222081671453274e-02,1.150358361834369902e-01,2.147058832724906274e-01,1.837556226925441127e-01,1.176861349865653411e-01,1.602725182045450225e-01,8.453489098748584452e-02,7.185207816989365448e-02,9.119690582980118088e-02,1.855308417541559340e-01
